id,label
1926,deer
1934,frog
1935,deer
1938,deer
1941,truck
1942,deer
1945,frog
1948,truck
1949,frog
1953,deer
1954,deer
1956,frog
1957,frog
1960,frog
1969,deer
1973,truck
1975,deer
1976,truck
1979,frog
1983,frog
1985,deer
1988,truck
1990,frog
1993,deer
